,weekid,ngo_abductions,ngo_events,media_abductions,media_events,zero,abductions_delta,events_delta,log_abductions_delta
57,58,0,0,0,0,0,0,0,0.0
58,59,0,0,0,0,0,0,0,0.0
59,60,0,0,0,0,0,0,0,0.0
60,61,50,1,0,0,0,50,1,1.7075701760979363
61,62,0,0,0,0,0,0,0,0.0
62,63,0,0,0,0,0,0,0,0.0
63,64,0,0,0,0,0,0,0,0.0
64,65,0,0,0,0,0,0,0,0.0
65,66,0,0,0,0,0,0,0,0.0
66,67,0,0,0,0,0,0,0,0.0
67,68,0,0,0,0,0,0,0,0.0
68,69,40,2,22,1,0,18,1,0.2510560207021426
69,70,0,0,0,0,0,0,0,0.0
70,71,0,0,0,0,0,0,0,0.0
71,72,0,0,0,0,0,0,0,0.0
72,73,0,0,9,1,0,-9,-1,-1.0
73,74,0,0,0,0,0,0,0,0.0
74,75,0,0,0,0,0,0,0,0.0
75,76,0,0,0,0,0,0,0,0.0
76,77,0,0,0,0,0,0,0,0.0
77,78,0,0,0,0,0,0,0,0.0
78,79,0,0,0,0,0,0,0,0.0
79,80,0,0,0,0,0,0,0,0.0
80,81,0,0,0,0,0,0,0,0.0
81,82,0,0,0,0,0,0,0,0.0
82,83,0,0,0,0,0,0,0,0.0
83,84,0,0,7,1,0,-7,-1,-0.9030899869919435
84,85,0,0,0,0,0,0,0,0.0
85,86,0,0,0,0,0,0,0,0.0
86,87,0,0,0,0,0,0,0,0.0
87,88,0,0,0,0,0,0,0,0.0
88,89,0,0,0,0,0,0,0,0.0
89,90,0,0,0,0,0,0,0,0.0
90,91,0,0,7,1,0,-7,-1,-0.9030899869919435
91,92,0,0,0,0,0,0,0,0.0
92,93,0,0,8,1,0,-8,-1,-0.9542425094393249
93,94,0,0,0,0,0,0,0,0.0
